date,rainfall
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.6
2017-05-31,0.4
2017-06-01,0.0
2017-06-02,4.2
2017-06-03,0.0
2017-06-04,0.0
2017-06-05,0.0
2017-06-06,0.0
2017-06-07,0.0
2017-06-08,0.0
2017-06-09,0.0
2017-06-10,0.0
2017-06-11,0.0
2017-06-12,0.0
2017-06-13,27.7
2017-06-14,0.0
2017-06-15,56.2
2017-06-16,3.8
2017-06-17,28.8
2017-06-18,43.4
2017-06-19,0.0
2017-06-20,0.1
2017-06-21,0.0
2017-06-22,0.1
2017-06-23,0.7
2017-06-24,0.8
2017-06-25,2.9
2017-06-26,9.1
2017-06-27,6.9
2017-06-28,3.8
2017-06-29,2.3
2017-06-30,17.0
2017-07-01,5.1
2017-07-02,1.4
2017-07-03,7.9
2017-07-04,0.2
2017-07-05,0.6
2017-07-06,0.0
2017-07-07,0.7
2017-07-08,2.6
2017-07-09,0.0
2017-07-10,0.0
2017-07-11,0.0
2017-07-12,0.9
2017-07-13,0.2
2017-07-14,26.0
2017-07-15,25.2
2017-07-16,6.7
2017-07-17,5.9
2017-07-18,19.9
2017-07-19,2.8
2017-07-20,10.8
2017-07-21,21.0
2017-07-22,18.4
2017-07-23,10.1
2017-07-24,6.1
2017-07-25,4.6
2017-07-26,0.5
2017-07-27,4.0
2017-07-28,7.9
2017-07-29,2.2
2017-07-30,1.9
2017-07-31,0.6
2017-08-01,1.0
2017-08-02,0.4
2017-08-03,0.9
2017-08-04,1.9
2017-08-05,0.0
2017-08-06,0.4
2017-08-07,0.0
2017-08-08,0.0
2017-08-09,0.0
2017-08-10,0.8
2017-08-11,0.8
2017-08-12,0.4
2017-08-13,0.0
2017-08-14,0.0
2017-08-15,0.0
2017-08-16,0.0
2017-08-17,0.0
2017-08-18,0.2
2017-08-19,3.4
2017-08-20,29.4
2017-08-21,59.9
2017-08-22,1.5
2017-08-23,0.2
2017-08-24,0.0
2017-08-25,0.5
2017-08-26,3.2
2017-08-27,8.2
2017-08-28,22.6
2017-08-29,18.8
2017-08-30,1.9
2017-08-31,5.8
2017-09-01,0.0
2017-09-02,0.3
2017-09-03,0.0
2017-09-04,0.0
2017-09-05,0.0
2017-09-06,0.0
2017-09-07,0.0
2017-09-08,22.1
2017-09-09,0.9
2017-09-10,0.0
2017-09-11,7.8
2017-09-12,2.1
2017-09-13,0.9
2017-09-14,4.8
2017-09-15,1.9
2017-09-16,16.1
2017-09-17,0.4
2017-09-18,0.0
2017-09-19,9.0
2017-09-20,30.1
2017-09-21,17.6
2017-09-22,12.5
2017-09-23,0.0
2017-09-24,0.0
2017-09-25,0.0
2017-09-26,0.0
2017-09-27,14.3
2017-09-28,0.0
2017-09-29,0.3
2017-09-30,10.6
2017-10-01,0.0
2017-10-02,0.0
2017-10-03,0.0
2017-10-04,0.0
2017-10-05,0.0
2017-10-06,0.0
2017-10-07,2.2
2017-10-08,7.0
2017-10-09,8.9
2017-10-10,0.0
2017-10-11,5.2
2017-10-12,9.1
2017-10-13,3.6
2017-10-14,101.3
2017-10-15,19.7
2017-10-16,4.4
2017-10-17,0.0
2017-10-18,0.0
2017-10-19,0.0
2017-10-20,0.0
2017-10-21,0.0
2017-10-22,0.0
2017-10-23,19.2
2017-10-24,0.0
2017-10-25,0.0
2017-10-26,0.0
2017-10-27,0.0
2017-10-28,0.3
2017-10-29,0.0
2017-10-30,0.0
2017-10-31,0.0
2018-05-01,0.0
2018-05-02,0.0
2018-05-03,0.0
2018-05-04,0.0
2018-05-05,0.0
2018-05-06,0.0
2018-05-07,0.0
2018-05-08,0.0
2018-05-09,0.0
2018-05-10,0.0
2018-05-11,0.0
2018-05-12,0.0
2018-05-13,0.0
2018-05-14,3.7
2018-05-15,0.0
2018-05-16,0.0
2018-05-17,0.0
2018-05-18,0.0
2018-05-19,0.0
2018-05-20,0.0
2018-05-21,0.0
2018-05-22,0.0
2018-05-23,0.0
2018-05-24,0.0
2018-05-25,0.0
2018-05-26,0.0
2018-05-27,0.0
2018-05-28,0.0
2018-05-29,0.0
2018-05-30,0.0
2018-05-31,0.0
2018-06-01,0.0
2018-06-02,25.3
2018-06-03,10.8
2018-06-04,0.0
2018-06-05,0.0
2018-06-06,0.0
2018-06-07,19.0
2018-06-08,0.0
2018-06-09,5.4
2018-06-10,0.0
2018-06-11,0.8
2018-06-12,0.6
2018-06-13,0.0
2018-06-14,0.0
2018-06-15,0.0
2018-06-16,0.0
2018-06-17,0.8
2018-06-18,7.5
2018-06-19,0.0
2018-06-20,0.0
2018-06-21,0.3
2018-06-22,64.7
2018-06-23,0.1
2018-06-24,0.5
2018-06-25,0.6
2018-06-26,5.9
2018-06-27,4.5
2018-06-28,0.1
2018-06-29,1.1
2018-06-30,0.0
2018-07-01,0.0
2018-07-02,0.0
2018-07-03,2.1
2018-07-04,1.1
2018-07-05,31.5
2018-07-06,4.5
2018-07-07,1.4
2018-07-08,8.6
2018-07-09,0.0
2018-07-10,4.8
2018-07-11,4.3
2018-07-12,2.3
2018-07-13,4.3
2018-07-14,1.5
2018-07-15,9.9
2018-07-16,26.6
2018-07-17,46.9
2018-07-18,5.6
2018-07-19,2.0
2018-07-20,1.9
2018-07-21,6.8
2018-07-22,1.2
2018-07-23,5.7
2018-07-24,0.3
2018-07-25,1.1
2018-07-26,0.7
2018-07-27,0.3
2018-07-28,0.0
2018-07-29,0.0
2018-07-30,0.0
2018-07-31,0.2
2018-08-01,0.2
2018-08-02,0.8
2018-08-03,3.1
2018-08-04,0.1
2018-08-05,4.1
2018-08-06,0.2
2018-08-07,0.7
2018-08-08,0.2
2018-08-09,1.5
2018-08-10,0.3
2018-08-11,0.4
2018-08-12,3.3
2018-08-13,4.4
2018-08-14,5.0
2018-08-15,2.0
2018-08-16,0.1
2018-08-17,7.9
2018-08-18,3.1
2018-08-19,2.1
2018-08-20,6.6
2018-08-21,7.6
2018-08-22,8.7
2018-08-23,5.0
2018-08-24,0.3
2018-08-25,2.5
2018-08-26,8.1
2018-08-27,5.6
2018-08-28,2.5
2018-08-29,0.2
2018-08-30,0.2
2018-08-31,0.0
2018-09-01,0.5
2018-09-02,2.6
2018-09-03,7.1
2018-09-04,0.1
2018-09-05,0.2
2018-09-06,0.4
